"nmqm","wfl.gekappt","bj","WL","Zentral","Gebtyp.23","Modern.Boden","Boden.Fak","kue.score.23","bad.score23","Fussboden.Heizung"
12.04,109,1939,"durchschnittliche",0,"Wohnblock",0,"wedernoch",0,1,0
19.51,123,2003.5,"durchschnittliche",1,"anderer",0,"gut",0,2,0
15.42,120,1983,"durchschnittliche",1,"anderer",0,"gut",0,1,0
13.06,68,1972,"durchschnittliche",1,"anderer",0,"gut",0,0,0
15.63,64,1957.5,"durchschnittliche",1,"Wohnblock",1,"gut",0,1,0
8.98,72,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,0,0
7.14,56,1983,"gute",0,"anderer",0,"gut",0,0,0
13.4,97,1957.5,"gute",0,"anderer",1,"gut",0,1,0
15.09,67,1957.5,"durchschnittliche",1,"anderer",0,"gut",0,1,0
12.89,80,1993.5,"gute",1,"anderer",0,"gut",0,0,0
10.79,52,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
11.25,88,1993.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
14.91,57,1924,"gute",0,"anderer",1,"gut",0,0,0
25.09,55,1993.5,"gute",0,"anderer",0,"gut",0,0,0
17.32,85,1983,"beste",0,"anderer",0,"gut",0,2,1
12.61,74,1972,"durchschnittliche",1,"anderer",0,"gut",0,1,0
17.5,80,1924,"durchschnittliche",1,"anderer",0,"wedernoch",0,1,0
12.27,99,1957.5,"durchschnittliche",1,"anderer",1,"gut",0,0,0
15,34,1957.5,"durchschnittliche",1,"anderer",0,"gut",0,1,0
20.25,81,2003.5,"durchschnittliche",1,"anderer",0,"gut",3,1,0
15.44,57,1993.5,"durchschnittliche",1,"anderer",0,"gut",0,0,0
17.31,52,1983,"durchschnittliche",0,"anderer",0,"gut",0,1,0
19.74,126,2003.5,"gute",0,"anderer",0,"gut",0,3,1
10.99,58,1957.5,"gute",0,"anderer",1,"wedernoch",0,0,0
18.57,70,2012.5,"gute",0,"anderer",0,"gut",2,1,1
11.5,160,1924,"gute",0,"anderer",0,"wedernoch",0,2,0
10.37,71,1957.5,"gute",0,"Wohnblock",0,"gut",0,1,0
15.4,63,2012.5,"gute",0,"anderer",0,"gut",0,2,1
20.41,44,1972,"durchschnittliche",0,"anderer",0,"gut",0,0,0
8.76,86,2020.5,"durchschnittliche",0,"anderer",0,"gut",0,2,1
14.5,80,2012.5,"gute",0,"anderer",0,"gut",3,2,0
11.58,66,2012.5,"gute",0,"anderer",0,"gut",0,1,0
19.72,71,1939,"beste",0,"anderer",0,"wedernoch",3,0,0
11.63,100,1972,"gute",0,"Wohnblock",0,"gut",3,0,0
23.69,84,1983,"beste",0,"anderer",1,"wedernoch",3,0,0
14.74,78,2003.5,"beste",0,"anderer",0,"gut",1,2,0
12.52,75,1957.5,"beste",0,"anderer",0,"gut",0,0,0
22.14,70,1993.5,"gute",0,"Wohnblock",1,"wedernoch",3,1,0
14.69,90,1983,"beste",0,"anderer",0,"gut",2,2,0
12.37,79,1993.5,"gute",0,"anderer",0,"gut",0,1,0
16.46,79,1993.5,"gute",0,"anderer",0,"wedernoch",3,1,0
17.95,73,2018,"durchschnittliche",0,"anderer",0,"gut",0,2,1
12.63,118,2003.5,"gute",0,"anderer",1,"gut",3,3,0
18.5,60,1957.5,"durchschnittliche",0,"Hochhaus",0,"gut",0,0,0
10.4,63,1972,"durchschnittliche",0,"anderer",0,"gut",0,0,0
17.11,38,1993.5,"durchschnittliche",0,"anderer",0,"gut",2,0,1
15.39,77,1993.5,"gute",0,"anderer",0,"gut",3,0,0
14.55,55,1983,"durchschnittliche",0,"anderer",0,"gut",1,0,0
17.74,84,2012.5,"gute",0,"anderer",0,"gut",0,3,1
17.5,56,2018,"gute",0,"anderer",0,"gut",3,2,1
9.73,84,2018,"gute",0,"anderer",0,"gut",0,3,1
18.06,36,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.63,80,1993.5,"gute",0,"anderer",0,"gut",3,0,0
10.79,57,1939,"durchschnittliche",0,"anderer",0,"gut",3,2,0
13.98,98,1972,"durchschnittliche",0,"Wohnblock",0,"wedernoch",0,2,0
14.94,81,1983,"durchschnittliche",0,"anderer",0,"gut",0,1,0
14.29,49,1939,"durchschnittliche",0,"Wohnblock",0,"gut",0,0,0
14.29,70,1972,"durchschnittliche",0,"Wohnblock",0,"gut",1,0,0
17.63,160,2018,"gute",0,"anderer",0,"wedernoch",3,2,1
18.52,61,1972,"gute",0,"anderer",1,"gut",0,1,0
14.57,77,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
16.64,75,1957.5,"durchschnittliche",0,"anderer",1,"gut",0,1,0
5.76,82,1924,"gute",0,"Wohnblock",0,"gut",0,2,0
16.9,71,1957.5,"gute",0,"anderer",0,"gut",2,1,0
14.35,62,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
15.16,93,1939,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
13.06,80,2012.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
13.75,56,1957.5,"durchschnittliche",0,"anderer",0,"gut",2,2,0
10,60,1993.5,"durchschnittliche",0,"anderer",1,"gut",3,1,0
9.16,76,1939,"durchschnittliche",0,"Wohnblock",1,"gut",0,1,0
15.53,75,1972,"durchschnittliche",0,"anderer",1,"gut",3,0,0
21.05,76,1972,"durchschnittliche",0,"anderer",1,"gut",3,0,0
15.84,50,1957.5,"durchschnittliche",0,"anderer",0,"wedernoch",1,0,0
12.16,74,1957.5,"durchschnittliche",0,"Wohnblock",0,"wedernoch",0,1,0
11.88,69,1972,"durchschnittliche",0,"anderer",1,"gut",0,1,0
20.98,61,2012.5,"durchschnittliche",0,"anderer",0,"gut",2,2,1
16.7,56,1983,"gute",1,"anderer",0,"gut",0,0,0
23.72,74,2020.5,"durchschnittliche",1,"anderer",0,"gut",0,2,1
14.29,53,1939,"gute",1,"Wohnblock",0,"gut",2,2,0
20.43,70,1957.5,"gute",1,"anderer",1,"gut",0,3,0
15.45,67,1957.5,"gute",1,"Hochhaus",0,"gut",1,1,0
10.4,65,1972,"gute",1,"anderer",0,"gut",0,1,0
21.88,80,1918,"gute",1,"anderer",0,"gut",0,2,0
9.8,102,1918,"gute",1,"anderer",0,"einfach",1,1,0
7.66,92,1924,"gute",1,"Wohnblock",1,"wedernoch",0,2,0
14.44,45,1972,"gute",1,"Hochhaus",0,"wedernoch",0,0,0
21.61,49,1957.5,"gute",1,"anderer",0,"gut",2,0,0
13.37,89,1918,"durchschnittliche",0,"anderer",0,"gut",0,1,0
13.68,60,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,1,0
16.18,54,1972,"durchschnittliche",0,"Hochhaus",0,"gut",3,1,1
15.37,145,1972,"durchschnittliche",0,"anderer",0,"wedernoch",3,2,0
16.45,99,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,2,1
17.03,92,2012.5,"durchschnittliche",0,"anderer",0,"gut",3,2,1
17.72,83,2018,"durchschnittliche",0,"anderer",0,"gut",3,2,1
16.6,52,1957.5,"durchschnittliche",0,"anderer",0,"gut",0,0,0
13.04,56,1983,"gute",1,"anderer",0,"gut",0,0,0
13.93,70,1939,"gute",1,"anderer",1,"gut",0,2,0
14.41,68,1972,"gute",1,"anderer",0,"gut",0,1,0
15.2,50,1957.5,"beste",1,"anderer",0,"gut",0,0,0
12.79,86,2003.5,"durchschnittliche",0,"anderer",0,"wedernoch",0,1,0
18.62,65,2012.5,"gute",0,"anderer",0,"gut",0,2,1
12.71,96,1957.5,"gute",0,"Hochhaus",0,"gut",0,0,1
